Spieler,,Verein,Pos.,Mio.,PI,DN,PI V.,DN V.,
,Poulsen,Gladbach,ABW,"0,8",,,,,merken

,Beijmo,Bremen,ABW,"0,8",,,,,merken

,Ntep,Wolfsburg,MIT,"0,7",,,0,"4,0",merken

,Nielsen,Düsseldorf,MIT,"0,7",,,,,merken

,Kapino,Bremen,TOR,"0,7",,,,,merken

,Müller,Leipzig,TOR,"0,7",,,,,merken

,Flekken,Freiburg,TOR,"0,7",,,,,merken

,Benes,Gladbach,MIT,"0,7",,,2,,merken

,Stolz,Hoffenheim,TOR,"0,6",,,0,,merken

,Kirschbaum,Leverkusen,TOR,"0,6",,,,,merken

,Jung,Wolfsburg,ABW,"0,6",,,5,"3,0",merken

,Felipe,Hannover,ABW,"0,6",,,10,"3,6",merken

